,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
872,Inga Rune-Eyes,U,4.0,{3}{U},3.0,3.0,,"When Inga Rune-Eyes enters the battlefield, scry 3.
When Inga Rune-Eyes dies, draw three cards if three or more creatures died this turn.",uncommon,Scry,Legendary,Creature
873,Karfell Harbinger,U,2.0,{1}{U},1.0,3.0,,{T}: Add {U}. Spend this mana only to foretell a card from your hand or cast an instant or sorcery spell.,common,,,Creature
874,Littjara Kinseekers,U,4.0,{3}{U},2.0,4.0,,"Changeling (This card is every creature type.)
When Littjara Kinseekers enters the battlefield, if you control three or more creatures that share a creature type, put a +1/+1 counter on Littjara Kinseekers, then scry 1.",common,"Changeling, Scry",,Creature
875,Mists of Littjara,U,2.0,{1}{U},,,,"Flash
Enchant creature or Vehicle
Enchanted creature gets -3/-0.",common,"Enchant, Flash",,Enchantment
876,Mistwalker,U,3.0,{2}{U},1.0,4.0,,"Changeling (This card is every creature type.)
Flying
{1}{U}: Mistwalker gets +1/-1 until end of turn.",common,"Changeling, Flying",,Creature
877,Mystic Reflection,U,2.0,{1}{U},,,,"Choose target nonlegendary creature. The next time one or more creatures or planeswalkers enter the battlefield this turn, they enter as copies of the chosen creature.
Foretell {U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",rare,Foretell,,Instant
878,"Orvar, the All-Form",U,4.0,{3}{U},3.0,3.0,,"Changeling
Whenever you cast an instant or sorcery spell, if it targets one or more other permanents you control, create a token that's a copy of one of those permanents.
When a spell or ability an opponent controls causes you to discard this card, create a token that's a copy of target permanent.",mythic,Changeling,Legendary,Creature
879,Pilfering Hawk,U,2.0,{1}{U},1.0,2.0,,"Flying
{S}, {T}: Draw a card, then discard a card. ({S} can be paid with one mana from a snow source.)",common,Flying,Snow,Creature
880,Ravenform,U,3.0,{2}{U},,,,"Exile target artifact or creature. Its controller creates a 1/1 blue Bird creature token with flying.
Foretell {U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,Foretell,,Sorcery
881,Reflections of Littjara,U,5.0,{4}{U},,,,"As Reflections of Littjara enters the battlefield, choose a creature type.
Whenever you cast a spell of the chosen type, copy that spell. (A copy of a permanent spell becomes a token.)",rare,,,Enchantment
882,Run Ashore,U,6.0,{4}{U}{U},,,,"Choose one or both —
• The owner of target nonland permanent puts it on the top or bottom of their library.
• Return target nonland permanent to its owner's hand.",common,,,Instant
883,Rune of Flight,U,2.0,{1}{U},,,,"Enchant permanent
When Rune of Flight enters the battlefield, draw a card.
As long as enchanted permanent is a creature, it has flying.
As long as enchanted permanent is an Equipment, it has ""Equipped creature has flying.""",uncommon,Enchant,,Enchantment
884,Saw It Coming,U,3.0,{1}{U}{U},,,,"Counter target spell.
Foretell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,Foretell,,Instant
885,Strategic Planning,U,2.0,{1}{U},,,,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,common,,,Sorcery
886,Undersea Invader,U,6.0,{4}{U}{U},5.0,6.0,,"Flash
Undersea Invader enters the battlefield tapped.",common,Flash,,Creature
887,Blood on the Snow,B,6.0,{4}{B}{B},,,,"Choose one —
• Destroy all creatures.
• Destroy all planeswalkers.
Then return a creature or planeswalker card with mana value X or less from your graveyard to the battlefield, where X is the amount of {S} spent to cast this spell. ({S} is mana from a snow source.)",rare,,Snow,Sorcery
888,Bloodsky Berserker,B,2.0,{1}{B},1.0,1.0,,"Whenever you cast your second spell each turn, put two +1/+1 counters on Bloodsky Berserker. It gains menace until end of turn. (It can't be blocked except by two or more creatures.)",uncommon,,,Creature
889,Burning-Rune Demon,B,6.0,{4}{B}{B},6.0,6.0,,"Flying
When Burning-Rune Demon enters the battlefield, you may search your library for exactly two cards not named Burning-Rune Demon that have different names. If you do, reveal those cards. An opponent chooses one of them. Put the chosen card into your hand and the other into your graveyard, then shuffle.",mythic,Flying,,Creature
890,Crippling Fear,B,4.0,{2}{B}{B},,,,Choose a creature type. Creatures that aren't of the chosen type get -3/-3 until end of turn.,rare,,,Sorcery
891,Deathknell Berserker,B,2.0,{1}{B},2.0,2.0,,"When Deathknell Berserker dies, if its power was 3 or greater, create a 2/2 black Zombie Berserker creature token.",common,,,Creature
892,Demonic Gifts,B,2.0,{1}{B},,,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield under its owner's control.""",common,,,Instant
893,Dogged Pursuit,B,4.0,{3}{B},,,,"At the beginning of your end step, each opponent loses 1 life and you gain 1 life.",common,,,Enchantment
894,Draugr Necromancer,B,4.0,{3}{B},4.0,4.0,,"If a nontoken creature an opponent controls would die, exile that card with an ice counter on it instead.
You may cast spells from among cards in exile your opponents own with ice counters on them, and you may spend mana from snow sources as though it were mana of any color to cast those spells.",rare,,Snow,Creature
895,Draugr Recruiter,B,4.0,{3}{B},3.0,3.0,,Boast — {3}{B}: Return target creature card from your graveyard to your hand. (Activate only if this creature attacked this turn and only once each turn.),common,Boast,,Creature
896,Draugr's Helm,B,2.0,{1}{B},,,,"When Draugr's Helm enters the battlefield, you may pay {2}{B}. If you do, create a 2/2 black Zombie Berserker creature token, then attach Draugr's Helm to it.
Equipped creature gets +2/+2 and has menace. (It can't be blocked except by two or more creatures.)
Equip {4}",uncommon,Equip,,Artifact
897,Dread Rider,B,6.0,{5}{B},3.0,7.0,,"{1}{B}, {T}, Exile a creature card from your graveyard: Target opponent loses 3 life.",common,,,Creature
898,Dream Devourer,B,2.0,{1}{B},0.0,3.0,,"Each nonland card in your hand without foretell has foretell. Its foretell cost is equal to its mana cost reduced by {2}. (During your turn, you may pay {2} and exile it from your hand face down. Cast it on a later turn for its foretell cost.)
Whenever you foretell a card, Dream Devourer gets +2/+0 until end of turn.",rare,,,Creature
899,Duskwielder,B,1.0,{B},1.0,2.0,,Boast — {1}: Target opponent loses 1 life and you gain 1 life. (Activate only if this creature attacked this turn and only once each turn.),common,Boast,,Creature
900,"Egon, God of Death",B,3.0,{2}{B},6.0,6.0,,"Deathtouch
At the beginning of your upkeep, exile two cards from your graveyard. If you can't, sacrifice Egon and draw a card.",rare,Deathtouch,Legendary,Creature
901,Throne of Death,B,1.0,{B},,,,"At the beginning of your upkeep, mill a card.
{2}{B}, {T}, Exile a creature card from your graveyard: Draw a card.",rare,Mill,Legendary,Artifact
902,Elderfang Disciple,B,2.0,{1}{B},1.0,1.0,,"When Elderfang Disciple enters the battlefield, each opponent discards a card.",common,,,Creature
903,Eradicator Valkyrie,B,4.0,{2}{B}{B},4.0,3.0,,"Flying, lifelink, hexproof from planeswalkers
Boast — {1}{B}, Sacrifice a creature: Each opponent sacrifices a creature or planeswalker. (Activate only if this creature attacked this turn and only once each turn.)",mythic,"Boast, Flying, Hexproof, Hexproof from, Lifelink",,Creature
904,Feed the Serpent,B,4.0,{2}{B}{B},,,,Exile target creature or planeswalker.,common,,,Instant
905,Grim Draugr,B,3.0,{2}{B},3.0,2.0,,{1}{S}: Grim Draugr gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures. {S} can be paid with one mana from a snow source.),common,,Snow,Creature
906,Hailstorm Valkyrie,B,4.0,{3}{B},2.0,2.0,,"Flying, trample
{S}{S}: Hailstorm Valkyrie gets +2/+2 until end of turn. ({S} can be paid with one mana from a snow source.)",uncommon,"Flying, Trample",Snow,Creature
907,Haunting Voyage,B,6.0,{4}{B}{B},,,,"Choose a creature type. Return up to two creature cards of that type from your graveyard to the battlefield. If this spell was foretold, return all creature cards of that type from your graveyard to the battlefield instead.
Foretell {5}{B}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",mythic,Foretell,,Sorcery
908,Infernal Pet,B,3.0,{2}{B},2.0,2.0,,"Whenever you cast your second spell each turn, put a +1/+1 counter on Infernal Pet and it gains flying until end of turn.",common,,,Creature
909,Jarl of the Forsaken,B,4.0,{3}{B},3.0,2.0,,"Flash
When Jarl of the Forsaken enters the battlefield, destroy target creature or planeswalker an opponent controls that was dealt damage this turn.
Foretell {1}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,"Flash, Foretell",,Creature
910,Karfell Kennel-Master,B,5.0,{4}{B},4.0,4.0,,"When Karfell Kennel-Master enters the battlefield, up to two target creatures each get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",common,,,Creature
911,Koma's Faithful,B,3.0,{2}{B},3.0,1.0,,"Lifelink
When Koma's Faithful dies, each player mills three cards. (To mill a card, a player puts the top card of their library into their graveyard.)",common,"Lifelink, Mill",,Creature
912,Poison the Cup,B,3.0,{1}{B}{B},,,,"Destroy target creature. If this spell was foretold, scry 2.
Foretell {1}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,"Foretell, Scry",,Instant
913,Priest of the Haunted Edge,B,2.0,{1}{B},0.0,4.0,,"{T}, Sacrifice Priest of the Haunted Edge: Target creature gets -X/-X until end of turn, where X is the number of snow lands you control. Activate only as a sorcery.",common,,Snow,Creature
914,Raise the Draugr,B,2.0,{1}{B},,,,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target creature cards that share a creature type from your graveyard to your hand.",common,,,Instant
915,Return Upon the Tide,B,5.0,{4}{B},,,,"Return target creature card from your graveyard to the battlefield. If it's an Elf, create two 1/1 green Elf Warrior creature tokens.
Foretell {3}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,Foretell,,Sorcery
916,Rise of the Dread Marn,B,3.0,{2}{B},,,,"Create X 2/2 black Zombie Berserker creature tokens, where X is the number of nontoken creatures that died this turn.
Foretell {B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",rare,Foretell,,Instant
917,Rune of Mortality,B,2.0,{1}{B},,,,"Enchant permanent
When Rune of Mortality enters the battlefield, draw a card.
As long as enchanted permanent is a creature, it has deathtouch.
As long as enchanted permanent is an Equipment, it has ""Equipped creature has deathtouch.""",uncommon,Enchant,,Enchantment
918,Skemfar Avenger,B,2.0,{1}{B},3.0,1.0,,"Whenever another nontoken Elf or Berserker you control dies, you draw a card and you lose 1 life.",rare,,,Creature
919,Skemfar Shadowsage,B,4.0,{3}{B},2.0,5.0,,"When Skemfar Shadowsage enters the battlefield, choose one —
• Each opponent loses X life, where X is the greatest number of creatures you control that have a creature type in common.
• You gain X life, where X is the greatest number of creatures you control that have a creature type in common.",uncommon,,,Creature
920,Skull Raid,B,4.0,{3}{B},,,,"Target opponent discards two cards. If fewer than two cards were discarded this way, you draw cards equal to the difference.
Foretell {1}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,Foretell,,Sorcery
921,"Tergrid, God of Fright",B,5.0,{3}{B}{B},4.0,5.0,,"Menace
Whenever an opponent sacrifices a nontoken permanent or discards a permanent card, you may put that card from a graveyard onto the battlefield under your control.",rare,Menace,Legendary,Creature
922,Tergrid's Lantern,B,4.0,{3}{B},,,,"{T}: Target player loses 3 life unless they sacrifice a nonland permanent or discard a card.
{3}{B}: Untap Tergrid's Lantern.",rare,,Legendary,Artifact
923,Tergrid's Shadow,B,5.0,{3}{B}{B},,,,"Each player sacrifices two creatures.
Foretell {2}{B}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,Foretell,,Instant
924,"Valki, God of Lies",B,2.0,{1}{B},2.0,1.0,,"When Valki enters the battlefield, each opponent reveals their hand. For each opponent, exile a creature card they revealed this way until Valki leaves the battlefield.
{X}: Choose a creature card exiled with Valki with mana value X. Valki becomes a copy of that card.",mythic,,Legendary,Creature
925,"Tibalt, Cosmic Impostor","B, R",7.0,{5}{B}{R},,,5.0,"As Tibalt enters the battlefield, you get an emblem with ""You may play cards exiled with Tibalt, Cosmic Impostor, and you may spend mana as though it were mana of any color to cast those spells.""
[+2]: Exile the top card of each player's library.
[−3]: Exile target artifact or creature.
[−8]: Exile all graveyards. Add {R}{R}{R}.",mythic,,Legendary,Planeswalker
926,"Varragoth, Bloodsky Sire",B,3.0,{2}{B},2.0,3.0,,"Deathtouch
Boast — {1}{B}: Target player searches their library for a card, then shuffles and puts that card on top. (Activate only if this creature attacked this turn and only once each turn.)",rare,"Boast, Deathtouch",Legendary,Creature
927,Vengeful Reaper,B,4.0,{3}{B},2.0,3.0,,"Flying, deathtouch, haste
Foretell {1}{B} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",uncommon,"Deathtouch, Flying, Foretell, Haste",,Creature
